num_individuals,num_neighbors,num_facts,starting_knowledge,investigation_probability,philosophy,truth_mean,truth_total,false_mean,false_total
100,4,1200,15,0.1,skeptical,0.6605238095238093,986,0.33947619047619043,507
100,4,1200,15,0.1,reid,0.6014576962675021,43562,0.3985423037324977,28866
100,4,1200,15,0.1,reid,0.5784235222393127,41947,0.4215764777606874,30572
100,4,1200,15,0.1,reid,0.6061424718425166,44255,0.3938575281574837,28757
100,4,1200,15,0.1,reid,0.6207480593620274,45271,0.3792519406379728,27657
100,4,1200,15,0.1,reid,0.630472598597244,45949,0.36952740140275614,26934
100,4,1200,15,0.1,reid,0.6364569223784102,46625,0.3635430776215899,26632
100,4,1200,15,0.1,reid,0.6014526952151914,44068,0.3985473047848086,29199
100,4,1200,15,0.1,reid,0.5830338599885333,42275,0.41696614001146676,30236
100,4,1200,15,0.1,reid,0.6074218566184932,44091,0.3925781433815068,28496
100,4,1200,15,0.1,reid,0.5912081845987545,43564,0.4087918154012457,30123
100,4,1200,15,0.1,direct,0.953948712763779,13471,0.04605128723622132,656
100,4,1200,15,0.1,direct,0.9492526488234982,10703,0.05074735117650153,577
100,4,1200,15,0.1,direct,0.9603049456341991,14381,0.03969505436580131,600
100,4,1200,15,0.1,direct,0.9661471144046123,16013,0.03385288559538699,566
100,4,1200,15,0.1,direct,0.9428071529856932,10611,0.057192847014306665,650
100,4,1200,15,0.1,direct,0.9590933744564418,13256,0.0409066255435583,570
100,4,1200,15,0.1,direct,0.9646745203023284,15771,0.03532547969767093,583
100,4,1200,15,0.1,direct,0.9433309616341412,9524,0.056669038365858286,577
100,4,1200,15,0.1,direct,0.9540261015732896,11037,0.04597389842671014,536
100,4,1200,15,0.1,direct,0.9597509626123478,14752,0.04024903738765177,624
100,4,1200,15,0.1,indirect,0.6339134616515922,35780,0.3660865383484077,20660
100,4,1200,15,0.1,indirect,0.5722412496561851,32483,0.42775875034381505,24324
100,4,1200,15,0.1,indirect,0.6620261372236415,36737,0.3379738627763588,18772
100,4,1200,15,0.1,indirect,0.6094085280648388,34396,0.39059147193516147,22071
100,4,1200,15,0.1,indirect,0.60474249398315,34857,0.3952575060168499,22820
100,4,1200,15,0.1,indirect,0.5983134068572135,35733,0.4016865931427865,24001
100,4,1200,15,0.1,indirect,0.5948809835470843,35035,0.40511901645291587,23859
100,4,1200,15,0.1,indirect,0.6061057194253029,34033,0.39389428057469705,22121
