num_individuals,num_neighbors,num_facts,starting_knowledge,investigation_probability,philosophy,truth_mean,truth_total,false_mean,false_total
8,8,16,15,0.6000000000000001,skeptical,0.5797032828282829,44,0.42029671717171724,34
8,8,16,15,0.6000000000000001,skeptical,0.7274305555555556,54,0.2725694444444444,22
8,8,16,15,0.6000000000000001,skeptical,0.5792929292929293,48,0.4207070707070707,35
8,8,16,15,0.6000000000000001,skeptical,0.8166035353535354,65,0.18339646464646464,15
8,8,16,15,0.6000000000000001,skeptical,0.42019230769230775,34,0.5798076923076922,45
8,8,16,15,0.6000000000000001,skeptical,0.5325126262626263,42,0.4674873737373737,39
8,8,16,15,0.6000000000000001,skeptical,0.6281565656565656,48,0.37184343434343436,30
8,8,16,15,0.6000000000000001,skeptical,0.6195075757575758,45,0.38049242424242424,30
8,8,16,15,0.6000000000000001,skeptical,0.5292613636363637,43,0.4707386363636364,34
8,8,16,15,0.6000000000000001,reid,0.6484375,83,0.3515625,45
8,8,16,15,0.6000000000000001,reid,0.65625,84,0.34375,44
8,8,16,15,0.6000000000000001,reid,0.4921875,63,0.5078125,65
8,8,16,15,0.6000000000000001,reid,0.5625,72,0.4375,56
8,8,16,15,0.6000000000000001,reid,0.59375,76,0.40625,52
8,8,16,15,0.6000000000000001,reid,0.46875,60,0.53125,68
8,8,16,15,0.6000000000000001,reid,0.453125,58,0.546875,70
8,8,16,15,0.6000000000000001,reid,0.5234375,67,0.4765625,61
8,8,16,15,0.6000000000000001,reid,0.59375,76,0.40625,52
8,8,16,15,0.6000000000000001,reid,0.640625,82,0.359375,46
8,8,16,15,0.6000000000000001,direct,0.4921875,63,0.5078125,65
8,8,16,15,0.6000000000000001,direct,0.6171875,79,0.3828125,49
8,8,16,15,0.6000000000000001,direct,0.671875,86,0.328125,42
8,8,16,15,0.6000000000000001,direct,0.4765625,61,0.5234375,67
8,8,16,15,0.6000000000000001,direct,0.5859375,75,0.4140625,53
8,8,16,15,0.6000000000000001,direct,0.6328125,81,0.3671875,47
8,8,16,15,0.6000000000000001,direct,0.78125,100,0.21875,28
8,8,16,15,0.6000000000000001,direct,0.640625,82,0.359375,46
8,8,16,15,0.6000000000000001,direct,0.6875,88,0.3125,40
8,8,16,15,0.6000000000000001,direct,0.734375,94,0.265625,34
8,8,16,15,0.6000000000000001,indirect,0.6875,88,0.3125,40
8,8,16,15,0.6000000000000001,indirect,0.515625,66,0.484375,62
8,8,16,15,0.6000000000000001,indirect,0.5,64,0.5,64
8,8,16,15,0.6000000000000001,indirect,0.6640625,85,0.3359375,43
8,8,16,15,0.6000000000000001,indirect,0.6328125,81,0.3671875,47
8,8,16,15,0.6000000000000001,indirect,0.5390625,69,0.4609375,59
8,8,16,15,0.6000000000000001,indirect,0.7578125,97,0.2421875,31
8,8,16,15,0.6000000000000001,indirect,0.4921875,63,0.5078125,65
8,8,16,15,0.6000000000000001,indirect,0.6328125,81,0.3671875,47
8,8,16,15,0.6000000000000001,indirect,0.6015625,77,0.3984375,51
8,8,16,15,0.8,skeptical,0.7447916666666666,52,0.2552083333333333,18
8,8,16,15,0.8,skeptical,0.5102272727272728,46,0.4897727272727272,41
8,8,16,15,0.8,skeptical,0.5727272727272728,47,0.4272727272727273,37
8,8,16,15,0.8,skeptical,0.6872159090909091,56,0.3127840909090909,25
8,8,16,15,0.8,skeptical,0.5273042929292929,41,0.47269570707070707,40
8,8,16,15,0.8,skeptical,0.594760101010101,51,0.40523989898989904,34
8,8,16,15,0.8,skeptical,0.5761363636363636,47,0.4238636363636364,34
8,8,16,15,0.8,skeptical,0.7652777777777778,62,0.23472222222222222,19
8,8,16,15,0.8,skeptical,0.719665404040404,58,0.2803345959595959,24
8,8,16,15,0.8,skeptical,0.7603535353535354,62,0.23964646464646464,20
8,8,16,15,0.8,reid,0.5390625,69,0.4609375,59
8,8,16,15,0.8,reid,0.5703125,73,0.4296875,55
8,8,16,15,0.8,reid,0.5,64,0.5,64
8,8,16,15,0.8,reid,0.4921875,63,0.5078125,65
8,8,16,15,0.8,reid,0.609375,78,0.390625,50
8,8,16,15,0.8,reid,0.4921875,63,0.5078125,65
8,8,16,15,0.8,reid,0.296875,38,0.703125,90
8,8,16,15,0.8,reid,0.6953125,89,0.3046875,39
8,8,16,15,0.8,reid,0.65625,84,0.34375,44
8,8,16,15,0.8,reid,0.609375,78,0.390625,50
8,8,16,15,0.8,direct,0.46875,60,0.53125,68
8,8,16,15,0.8,direct,0.890625,114,0.109375,14
8,8,16,15,0.8,direct,0.4296875,55,0.5703125,73
8,8,16,15,0.8,direct,0.4609375,59,0.5390625,69
8,8,16,15,0.8,direct,0.59375,76,0.40625,52
8,8,16,15,0.8,direct,0.6015625,77,0.3984375,51
8,8,16,15,0.8,direct,0.6875,88,0.3125,40
8,8,16,15,0.8,direct,0.53125,68,0.46875,60
8,8,16,15,0.8,direct,0.703125,90,0.296875,38
8,8,16,15,0.8,direct,0.6015625,77,0.3984375,51
8,8,16,15,0.8,indirect,0.59375,76,0.40625,52
8,8,16,15,0.8,indirect,0.6953125,89,0.3046875,39
8,8,16,15,0.8,indirect,0.4140625,53,0.5859375,75
8,8,16,15,0.8,indirect,0.7109375,91,0.2890625,37
8,8,16,15,0.8,indirect,0.453125,58,0.546875,70
8,8,16,15,0.8,indirect,0.59375,76,0.40625,52
8,8,16,15,0.8,indirect,0.515625,66,0.484375,62
8,8,16,15,0.8,indirect,0.7421875,95,0.2578125,33
8,8,16,15,0.8,indirect,0.6171875,79,0.3828125,49
8,8,16,15,0.8,indirect,0.4921875,63,0.5078125,65
8,8,300,15,0.0,skeptical,0.4551282051282052,53,0.5448717948717948,64
8,8,300,15,0.0,skeptical,0.6589285714285714,78,0.3410714285714286,40
8,8,300,15,0.0,skeptical,0.4606684981684982,54,0.5393315018315018,62
8,8,300,15,0.0,skeptical,0.7208333333333333,85,0.2791666666666667,33
8,8,300,15,0.0,skeptical,0.6666666666666667,80,0.33333333333333337,39
8,8,300,15,0.0,skeptical,0.4601190476190476,55,0.5398809523809524,64
8,8,300,15,0.0,skeptical,0.5345238095238096,63,0.46547619047619043,54
8,8,300,15,0.0,skeptical,0.675,80,0.325,39
8,8,300,15,0.0,skeptical,0.593452380952381,70,0.40654761904761905,48
8,8,300,15,0.0,skeptical,0.5727564102564102,66,0.4272435897435898,49
8,8,300,15,0.0,reid,0.636029411764706,519,0.36397058823529416,297
8,8,300,15,0.0,reid,0.6731770833333334,517,0.3268229166666667,251
8,8,300,15,0.0,reid,0.9056372549019609,739,0.09436274509803921,77
8,8,300,15,0.0,reid,0.4049479166666667,311,0.5950520833333334,457
8,8,300,15,0.0,reid,0.49878640776699024,411,0.5012135922330098,413
8,8,300,15,0.0,reid,0.7575757575757576,600,0.24242424242424243,192
8,8,300,15,0.0,reid,0.7576530612244898,594,0.24234693877551022,190
8,8,300,15,0.0,reid,0.55625,445,0.44375,355
8,8,300,15,0.0,reid,0.6666666666666667,560,0.33333333333333337,280
8,8,300,15,0.0,reid,0.49097938144329895,381,0.509020618556701,395
8,8,300,15,0.0,direct,0.7129629629629629,616,0.2870370370370371,248
8,8,300,15,0.0,direct,0.4815789473684211,366,0.518421052631579,394
8,8,300,15,0.0,direct,0.6156914893617021,463,0.3843085106382979,289
8,8,300,15,0.0,direct,0.45875,367,0.54125,433
8,8,300,15,0.0,direct,0.6901041666666666,530,0.3098958333333333,238
8,8,300,15,0.0,direct,0.471938775510204,370,0.5280612244897959,414
8,8,300,15,0.0,direct,0.8250000000000001,660,0.17499999999999996,140
8,8,300,15,0.0,direct,0.5889175257731958,457,0.41108247422680405,319
8,8,300,15,0.0,direct,0.5026041666666667,386,0.4973958333333333,382
8,8,300,15,0.0,direct,0.6071428571428572,476,0.3928571428571428,308
8,8,300,15,0.0,indirect,0.665,532,0.335,268
8,8,300,15,0.0,indirect,0.7029702970297028,568,0.297029702970297,240
8,8,300,15,0.0,indirect,0.36375,291,0.63625,509
8,8,300,15,0.0,indirect,0.5294811320754718,449,0.4705188679245283,399
8,8,300,15,0.0,indirect,0.5954301075268817,443,0.4045698924731183,301
8,8,300,15,0.0,indirect,0.6808252427184466,561,0.3191747572815534,263
8,8,300,15,0.0,indirect,0.6123737373737373,485,0.38762626262626265,307
8,8,300,15,0.0,indirect,0.6565656565656566,520,0.3434343434343434,272
8,8,300,15,0.0,indirect,0.7028061224489796,551,0.2971938775510204,233
8,8,300,15,0.0,indirect,0.6905339805825244,569,0.30946601941747565,255
8,8,300,15,0.2,skeptical,0.5239010989010989,62,0.4760989010989011,55
8,8,300,15,0.2,skeptical,0.4666666666666667,54,0.5333333333333333,61
8,8,300,15,0.2,skeptical,0.5264652014652015,61,0.4735347985347985,55
8,8,300,15,0.2,skeptical,0.5244047619047619,62,0.4755952380952381,56
8,8,300,15,0.2,skeptical,0.6743131868131869,76,0.3256868131868132,36
8,8,300,15,0.2,skeptical,0.5726190476190477,67,0.42738095238095236,50
8,8,300,15,0.2,skeptical,0.5464285714285714,62,0.45357142857142857,52
8,8,300,15,0.2,skeptical,0.4976190476190476,58,0.5023809523809524,59
8,8,300,15,0.2,skeptical,0.6458333333333334,75,0.3541666666666667,42
